model_id,sample_index,stratum_id,sample_within_stratum,facade_configuration,reference_orientation,active_facades,window_type,sill_height_m,window_width_m,window_height_m,overhang_present,overhang_depth_m,overhang_length_m
model_207,207,adjacent_west_north__floor_to_ceiling__no_overhang,4,two_adjacent,west,west;north,floor_to_ceiling,0.0,0.84,3.0,False,0.0,0.84
model_208,208,single_east__conventional__overhang,4,single,east,east,conventional,0.9,1.44,1.43,True,0.83,1.44
model_209,209,three_north_east_south__conventional__no_overhang,4,three_facades,east,north;east;south,conventional,0.9,2.28,0.7,False,0.0,2.28
model_210,210,three_north_east_south__conventional__overhang,4,three_facades,east,north;east;south,conventional,0.9,0.88,0.8,True,1.4,0.88
model_211,211,opposite_east_west__floor_to_ceiling__overhang,4,two_opposite,east,east;west,floor_to_ceiling,0.0,1.1,3.0,True,0.57,1.1
model_212,212,three_north_east_west__conventional__overhang,4,three_facades,north,north;east;west,conventional,0.9,1.24,1.16,True,0.41,1.24
model_213,213,single_east__floor_to_ceiling__no_overhang,4,single,east,east,floor_to_ceiling,0.0,0.91,3.0,False,0.0,0.91
model_214,214,opposite_east_west__conventional__overhang,4,two_opposite,east,east;west,conventional,0.9,1.69,1.38,True,0.55,1.69
model_215,215,single_east__conventional__no_overhang,4,single,east,east,conventional,0.9,1.13,0.98,False,0.0,1.13
model_216,216,three_north_south_west__conventional__no_overhang,4,three_facades,west,north;south;west,conventional,0.9,0.94,2.09,False,0.0,0.94
model_217,217,three_north_east_west__floor_to_ceiling__overhang,4,three_facades,north,north;east;west,floor_to_ceiling,0.0,1.97,3.0,True,1.01,1.97
model_218,218,adjacent_west_north__conventional__overhang,4,two_adjacent,west,west;north,conventional,0.9,2.11,2.04,True,1.28,2.11
model_219,219,adjacent_north_east__floor_to_ceiling__no_overhang,4,two_adjacent,north,north;east,floor_to_ceiling,0.0,0.62,3.0,False,0.0,0.62
model_220,220,three_north_south_west__conventional__overhang,4,three_facades,west,north;south;west,conventional,0.9,2.09,1.08,True,1.15,2.09
model_221,221,adjacent_north_east__floor_to_ceiling__overhang,4,two_adjacent,north,north;east,floor_to_ceiling,0.0,2.05,3.0,True,1.18,2.05
model_222,222,three_east_south_west__conventional__overhang,4,three_facades,south,east;south;west,conventional,0.9,0.86,1.78,True,1.01,0.86
model_223,223,single_north__conventional__overhang,4,single,north,north,conventional,0.9,1.78,0.81,True,1.1,1.78
model_224,224,three_north_east_south__floor_to_ceiling__overhang,4,three_facades,east,north;east;south,floor_to_ceiling,0.0,2.25,3.0,True,1.2,2.25
model_225,225,three_north_east_south__conventional__no_overhang,5,three_facades,east,north;east;south,conventional,0.9,1.7,1.54,False,0.0,1.7
model_226,226,adjacent_north_east__floor_to_ceiling__no_overhang,5,two_adjacent,north,north;east,floor_to_ceiling,0.0,1.52,3.0,False,0.0,1.52
model_227,227,single_east__floor_to_ceiling__overhang,5,single,east,east,floor_to_ceiling,0.0,1.8,3.0,True,1.2,1.8
model_228,228,opposite_east_west__floor_to_ceiling__overhang,5,two_opposite,east,east;west,floor_to_ceiling,0.0,1.67,3.0,True,1.34,1.67
model_229,229,three_east_south_west__conventional__no_overhang,5,three_facades,south,east;south;west,conventional,0.9,0.93,1.94,False,0.0,0.93
model_230,230,three_north_east_west__conventional__no_overhang,5,three_facades,north,north;east;west,conventional,0.9,2.35,1.99,False,0.0,2.35
model_231,231,single_south__floor_to_ceiling__overhang,5,single,south,south,floor_to_ceiling,0.0,0.65,3.0,True,0.41,0.65
model_232,232,three_north_east_west__floor_to_ceiling__overhang,5,three_facades,north,north;east;west,floor_to_ceiling,0.0,1.32,3.0,True,1.03,1.32
model_233,233,opposite_north_south__floor_to_ceiling__overhang,5,two_opposite,north,north;south,floor_to_ceiling,0.0,1.24,3.0,True,1.5,1.24
model_234,234,single_west__conventional__overhang,5,single,west,west,conventional,0.9,0.7,1.58,True,0.95,0.7
model_235,235,single_east__floor_to_ceiling__no_overhang,5,single,east,east,floor_to_ceiling,0.0,1.45,3.0,False,0.0,1.45
model_236,236,three_north_south_west__floor_to_ceiling__no_overhang,5,three_facades,west,north;south;west,floor_to_ceiling,0.0,1.48,3.0,False,0.0,1.48
model_237,237,adjacent_north_east__floor_to_ceiling__overhang,5,two_adjacent,north,north;east,floor_to_ceiling,0.0,0.78,3.0,True,0.52,0.78
model_238,238,adjacent_east_south__conventional__no_overhang,5,two_adjacent,east,east;south,conventional,0.9,1.13,1.88,False,0.0,1.13
model_239,239,opposite_east_west__floor_to_ceiling__no_overhang,5,two_opposite,east,east;west,floor_to_ceiling,0.0,1.02,3.0,False,0.0,1.02
model_240,240,adjacent_south_west__conventional__overhang,5,two_adjacent,south,south;west,conventional,0.9,0.68,1.28,True,1.34,0.68
model_241,241,adjacent_east_south__floor_to_ceiling__overhang,5,two_adjacent,east,east;south,floor_to_ceiling,0.0,1.52,3.0,True,0.95,1.52
model_242,242,three_north_east_south__floor_to_ceiling__no_overhang,5,three_facades,east,north;east;south,floor_to_ceiling,0.0,2.06,3.0,False,0.0,2.06
model_243,243,single_east__conventional__no_overhang,5,single,east,east,conventional,0.9,1.3,0.79,False,0.0,1.3
model_244,244,adjacent_west_north__conventional__no_overhang,5,two_adjacent,west,west;north,conventional,0.9,0.88,1.83,False,0.0,0.88
model_245,245,adjacent_west_north__floor_to_ceiling__overhang,5,two_adjacent,west,west;north,floor_to_ceiling,0.0,1.52,3.0,True,0.57,1.52
model_246,246,adjacent_east_south__conventional__overhang,5,two_adjacent,east,east;south,conventional,0.9,1.08,1.18,True,1.36,1.08
model_247,247,three_north_east_south__conventional__overhang,5,three_facades,east,north;east;south,conventional,0.9,2.32,0.96,True,0.37,2.32
model_248,248,single_south__conventional__overhang,5,single,south,south,conventional,0.9,2.2,1.39,True,1.43,2.2
model_249,249,adjacent_north_east__conventional__no_overhang,5,two_adjacent,north,north;east,conventional,0.9,0.96,1.69,False,0.0,0.96
model_250,250,three_north_south_west__conventional__no_overhang,5,three_facades,west,north;south;west,conventional,0.9,1.23,1.04,False,0.0,1.23
model_251,251,adjacent_east_south__floor_to_ceiling__no_overhang,5,two_adjacent,east,east;south,floor_to_ceiling,0.0,1.39,3.0,False,0.0,1.39
model_252,252,single_south__conventional__no_overhang,5,single,south,south,conventional,0.9,1.39,0.93,False,0.0,1.39
model_253,253,three_east_south_west__floor_to_ceiling__no_overhang,5,three_facades,south,east;south;west,floor_to_ceiling,0.0,1.18,3.0,False,0.0,1.18
model_254,254,three_north_south_west__floor_to_ceiling__overhang,5,three_facades,west,north;south;west,floor_to_ceiling,0.0,0.84,3.0,True,1.32,0.84
model_255,255,three_east_south_west__floor_to_ceiling__overhang,5,three_facades,south,east;south;west,floor_to_ceiling,0.0,1.52,3.0,True,0.31,1.52
model_256,256,adjacent_south_west__floor_to_ceiling__overhang,5,two_adjacent,south,south;west,floor_to_ceiling,0.0,0.64,3.0,True,0.38,0.64
model_257,257,single_south__floor_to_ceiling__no_overhang,5,single,south,south,floor_to_ceiling,0.0,2.1,3.0,False,0.0,2.1
model_258,258,single_north__floor_to_ceiling__overhang,5,single,north,north,floor_to_ceiling,0.0,1.2,3.0,True,0.66,1.2
model_259,259,opposite_north_south__floor_to_ceiling__no_overhang,5,two_opposite,north,north;south,floor_to_ceiling,0.0,1.15,3.0,False,0.0,1.15
model_260,260,single_west__floor_to_ceiling__overhang,5,single,west,west,floor_to_ceiling,0.0,1.53,3.0,True,0.86,1.53
model_261,261,single_west__floor_to_ceiling__no_overhang,5,single,west,west,floor_to_ceiling,0.0,0.89,3.0,False,0.0,0.89
model_262,262,adjacent_west_north__floor_to_ceiling__no_overhang,5,two_adjacent,west,west;north,floor_to_ceiling,0.0,1.99,3.0,False,0.0,1.99
model_263,263,adjacent_west_north__conventional__overhang,5,two_adjacent,west,west;north,conventional,0.9,2.22,1.71,True,0.36,2.22
model_264,264,adjacent_north_east__conventional__overhang,5,two_adjacent,north,north;east,conventional,0.9,1.24,0.76,True,0.62,1.24
model_265,265,three_north_east_west__floor_to_ceiling__no_overhang,5,three_facades,north,north;east;west,floor_to_ceiling,0.0,2.06,3.0,False,0.0,2.06
model_266,266,single_west__conventional__no_overhang,5,single,west,west,conventional,0.9,2.07,1.57,False,0.0,2.07
model_267,267,opposite_east_west__conventional__no_overhang,5,two_opposite,east,east;west,conventional,0.9,2.03,1.23,False,0.0,2.03
model_268,268,single_north__conventional__no_overhang,5,single,north,north,conventional,0.9,1.35,0.64,False,0.0,1.35
model_269,269,three_north_south_west__conventional__overhang,5,three_facades,west,north;south;west,conventional,0.9,1.32,1.33,True,0.78,1.32
model_270,270,opposite_north_south__conventional__overhang,5,two_opposite,north,north;south,conventional,0.9,2.25,1.89,True,1.07,2.25
model_271,271,three_east_south_west__conventional__overhang,5,three_facades,south,east;south;west,conventional,0.9,1.35,1.96,True,1.07,1.35
model_272,272,three_north_east_west__conventional__overhang,5,three_facades,north,north;east;west,conventional,0.9,2.08,1.95,True,0.89,2.08
model_273,273,opposite_east_west__conventional__overhang,5,two_opposite,east,east;west,conventional,0.9,2.34,1.64,True,0.8,2.34
model_274,274,single_north__floor_to_ceiling__no_overhang,5,single,north,north,floor_to_ceiling,0.0,1.18,3.0,False,0.0,1.18
model_275,275,single_north__conventional__overhang,5,single,north,north,conventional,0.9,0.89,1.49,True,0.9,0.89
model_276,276,opposite_north_south__conventional__no_overhang,5,two_opposite,north,north;south,conventional,0.9,1.09,1.64,False,0.0,1.09
model_277,277,three_north_east_south__floor_to_ceiling__overhang,5,three_facades,east,north;east;south,floor_to_ceiling,0.0,1.0,3.0,True,0.96,1.0
model_278,278,single_east__conventional__overhang,5,single,east,east,conventional,0.9,1.25,1.2,True,1.06,1.25
model_279,279,adjacent_south_west__conventional__no_overhang,5,two_adjacent,south,south;west,conventional,0.9,1.28,1.37,False,0.0,1.28
model_280,280,adjacent_south_west__floor_to_ceiling__no_overhang,5,two_adjacent,south,south;west,floor_to_ceiling,0.0,1.81,3.0,False,0.0,1.81
model_281,281,single_east__conventional__overhang,6,single,east,east,conventional,0.9,2.3,1.03,True,1.35,2.3
model_282,282,single_east__conventional__no_overhang,6,single,east,east,conventional,0.9,2.1,0.63,False,0.0,2.1
model_283,283,single_west__conventional__overhang,6,single,west,west,conventional,0.9,0.95,0.89,True,0.34,0.95
model_284,284,opposite_north_south__conventional__no_overhang,6,two_opposite,north,north;south,conventional,0.9,1.91,0.69,False,0.0,1.91
model_285,285,opposite_east_west__floor_to_ceiling__no_overhang,6,two_opposite,east,east;west,floor_to_ceiling,0.0,1.54,3.0,False,0.0,1.54
model_286,286,single_south__floor_to_ceiling__overhang,6,single,south,south,floor_to_ceiling,0.0,1.09,3.0,True,0.56,1.09
model_287,287,single_north__floor_to_ceiling__overhang,6,single,north,north,floor_to_ceiling,0.0,2.27,3.0,True,1.39,2.27
model_288,288,adjacent_east_south__conventional__no_overhang,6,two_adjacent,east,east;south,conventional,0.9,1.51,1.32,False,0.0,1.51
model_289,289,three_east_south_west__conventional__overhang,6,three_facades,south,east;south;west,conventional,0.9,1.52,1.02,True,1.26,1.52
model_290,290,adjacent_west_north__floor_to_ceiling__no_overhang,6,two_adjacent,west,west;north,floor_to_ceiling,0.0,2.09,3.0,False,0.0,2.09
model_291,291,adjacent_north_east__floor_to_ceiling__overhang,6,two_adjacent,north,north;east,floor_to_ceiling,0.0,1.36,3.0,True,1.29,1.36
model_292,292,three_north_east_south__floor_to_ceiling__overhang,6,three_facades,east,north;east;south,floor_to_ceiling,0.0,1.14,3.0,True,1.03,1.14
model_293,293,three_north_east_west__floor_to_ceiling__no_overhang,6,three_facades,north,north;east;west,floor_to_ceiling,0.0,0.91,3.0,False,0.0,0.91
model_294,294,three_north_east_south__floor_to_ceiling__no_overhang,6,three_facades,east,north;east;south,floor_to_ceiling,0.0,1.02,3.0,False,0.0,1.02
model_295,295,three_north_east_west__floor_to_ceiling__overhang,6,three_facades,north,north;east;west,floor_to_ceiling,0.0,2.28,3.0,True,1.48,2.28
model_296,296,adjacent_west_north__conventional__overhang,6,two_adjacent,west,west;north,conventional,0.9,1.77,1.12,True,0.75,1.77
model_297,297,adjacent_west_north__floor_to_ceiling__overhang,6,two_adjacent,west,west;north,floor_to_ceiling,0.0,0.73,3.0,True,1.11,0.73
model_298,298,three_north_east_south__conventional__no_overhang,6,three_facades,east,north;east;south,conventional,0.9,1.36,1.41,False,0.0,1.36
model_299,299,single_south__floor_to_ceiling__no_overhang,6,single,south,south,floor_to_ceiling,0.0,1.38,3.0,False,0.0,1.38
model_300,300,single_south__conventional__overhang,6,single,south,south,conventional,0.9,1.28,2.03,True,1.29,1.28
model_301,301,single_north__conventional__no_overhang,6,single,north,north,conventional,0.9,1.25,0.91,False,0.0,1.25
model_302,302,adjacent_north_east__conventional__no_overhang,6,two_adjacent,north,north;east,conventional,0.9,0.82,0.66,False,0.0,0.82
model_303,303,adjacent_east_south__floor_to_ceiling__overhang,6,two_adjacent,east,east;south,floor_to_ceiling,0.0,0.73,3.0,True,0.84,0.73
model_304,304,opposite_east_west__floor_to_ceiling__overhang,6,two_opposite,east,east;west,floor_to_ceiling,0.0,2.13,3.0,True,0.87,2.13
model_305,305,adjacent_south_west__floor_to_ceiling__no_overhang,6,two_adjacent,south,south;west,floor_to_ceiling,0.0,1.32,3.0,False,0.0,1.32
model_306,306,three_east_south_west__conventional__no_overhang,6,three_facades,south,east;south;west,conventional,0.9,1.79,1.36,False,0.0,1.79
model_307,307,three_north_south_west__floor_to_ceiling__overhang,6,three_facades,west,north;south;west,floor_to_ceiling,0.0,1.61,3.0,True,0.33,1.61
model_308,308,three_east_south_west__floor_to_ceiling__no_overhang,6,three_facades,south,east;south;west,floor_to_ceiling,0.0,1.08,3.0,False,0.0,1.08
model_309,309,opposite_east_west__conventional__overhang,6,two_opposite,east,east;west,conventional,0.9,2.14,0.86,True,1.47,2.14
model_310,310,adjacent_north_east__floor_to_ceiling__no_overhang,6,two_adjacent,north,north;east,floor_to_ceiling,0.0,2.2,3.0,False,0.0,2.2
model_311,311,three_north_south_west__conventional__no_overhang,6,three_facades,west,north;south;west,conventional,0.9,1.53,1.47,False,0.0,1.53
model_312,312,opposite_north_south__floor_to_ceiling__overhang,6,two_opposite,north,north;south,floor_to_ceiling,0.0,1.93,3.0,True,0.69,1.93
model_313,313,adjacent_east_south__conventional__overhang,6,two_adjacent,east,east;south,conventional,0.9,2.01,1.61,True,1.24,2.01
model_314,314,single_west__floor_to_ceiling__overhang,6,single,west,west,floor_to_ceiling,0.0,2.38,3.0,True,1.07,2.38
model_315,315,three_north_south_west__conventional__overhang,6,three_facades,west,north;south;west,conventional,0.9,0.7,1.86,True,0.64,0.7
model_316,316,adjacent_west_north__conventional__no_overhang,6,two_adjacent,west,west;north,conventional,0.9,2.39,1.55,False,0.0,2.39
model_317,317,opposite_east_west__conventional__no_overhang,6,two_opposite,east,east;west,conventional,0.9,2.17,0.76,False,0.0,2.17
model_318,318,adjacent_east_south__floor_to_ceiling__no_overhang,6,two_adjacent,east,east;south,floor_to_ceiling,0.0,1.51,3.0,False,0.0,1.51
model_319,319,single_east__floor_to_ceiling__overhang,6,single,east,east,floor_to_ceiling,0.0,1.17,3.0,True,0.44,1.17
model_320,320,three_north_east_south__conventional__overhang,6,three_facades,east,north;east;south,conventional,0.9,2.02,1.83,True,1.03,2.02
model_321,321,single_north__floor_to_ceiling__no_overhang,6,single,north,north,floor_to_ceiling,0.0,1.05,3.0,False,0.0,1.05
model_322,322,adjacent_north_east__conventional__overhang,6,two_adjacent,north,north;east,conventional,0.9,0.61,1.98,True,0.76,0.61
model_323,323,three_north_south_west__floor_to_ceiling__no_overhang,6,three_facades,west,north;south;west,floor_to_ceiling,0.0,2.08,3.0,False,0.0,2.08
model_324,324,three_north_east_west__conventional__no_overhang,6,three_facades,north,north;east;west,conventional,0.9,0.83,1.85,False,0.0,0.83
model_325,325,single_south__conventional__no_overhang,6,single,south,south,conventional,0.9,1.03,2.04,False,0.0,1.03
model_326,326,adjacent_south_west__conventional__no_overhang,6,two_adjacent,south,south;west,conventional,0.9,1.09,1.66,False,0.0,1.09
model_327,327,opposite_north_south__conventional__overhang,6,two_opposite,north,north;south,conventional,0.9,1.79,1.32,True,1.25,1.79
model_328,328,single_west__floor_to_ceiling__no_overhang,6,single,west,west,floor_to_ceiling,0.0,1.04,3.0,False,0.0,1.04
model_329,329,three_north_east_west__conventional__overhang,6,three_facades,north,north;east;west,conventional,0.9,0.72,1.22,True,0.47,0.72
model_330,330,three_east_south_west__floor_to_ceiling__overhang,6,three_facades,south,east;south;west,floor_to_ceiling,0.0,2.15,3.0,True,1.04,2.15
model_331,331,opposite_north_south__floor_to_ceiling__no_overhang,6,two_opposite,north,north;south,floor_to_ceiling,0.0,2.22,3.0,False,0.0,2.22
model_332,332,adjacent_south_west__conventional__overhang,6,two_adjacent,south,south;west,conventional,0.9,1.79,1.47,True,1.08,1.79
model_333,333,single_north__conventional__overhang,6,single,north,north,conventional,0.9,0.72,0.6,True,0.8,0.72
model_334,334,adjacent_south_west__floor_to_ceiling__overhang,6,two_adjacent,south,south;west,floor_to_ceiling,0.0,1.31,3.0,True,0.71,1.31
model_335,335,single_east__floor_to_ceiling__no_overhang,6,single,east,east,floor_to_ceiling,0.0,2.28,3.0,False,0.0,2.28
model_336,336,single_west__conventional__no_overhang,6,single,west,west,conventional,0.9,1.69,2.08,False,0.0,1.69
model_337,337,three_north_south_west__floor_to_ceiling__no_overhang,7,three_facades,west,north;south;west,floor_to_ceiling,0.0,0.76,3.0,False,0.0,0.76
model_338,338,single_east__conventional__overhang,7,single,east,east,conventional,0.9,1.65,1.81,True,0.67,1.65
model_339,339,opposite_north_south__floor_to_ceiling__no_overhang,7,two_opposite,north,north;south,floor_to_ceiling,0.0,1.62,3.0,False,0.0,1.62
model_340,340,single_east__floor_to_ceiling__no_overhang,7,single,east,east,floor_to_ceiling,0.0,1.15,3.0,False,0.0,1.15
model_341,341,three_north_east_west__floor_to_ceiling__overhang,7,three_facades,north,north;east;west,floor_to_ceiling,0.0,0.65,3.0,True,0.72,0.65
model_342,342,single_west__conventional__no_overhang,7,single,west,west,conventional,0.9,0.74,1.46,False,0.0,0.74
model_343,343,single_west__floor_to_ceiling__no_overhang,7,single,west,west,floor_to_ceiling,0.0,2.1,3.0,False,0.0,2.1
model_344,344,single_south__conventional__no_overhang,7,single,south,south,conventional,0.9,1.28,0.7,False,0.0,1.28
model_345,345,three_north_south_west__conventional__no_overhang,7,three_facades,west,north;south;west,conventional,0.9,0.63,1.73,False,0.0,0.63
model_346,346,adjacent_east_south__conventional__overhang,7,two_adjacent,east,east;south,conventional,0.9,2.07,1.94,True,1.45,2.07
model_347,347,three_north_east_west__floor_to_ceiling__no_overhang,7,three_facades,north,north;east;west,floor_to_ceiling,0.0,1.98,3.0,False,0.0,1.98
model_348,348,three_north_east_west__conventional__overhang,7,three_facades,north,north;east;west,conventional,0.9,1.73,0.68,True,1.44,1.73
model_349,349,three_north_east_south__conventional__overhang,7,three_facades,east,north;east;south,conventional,0.9,0.65,1.42,True,0.96,0.65
model_350,350,opposite_east_west__floor_to_ceiling__no_overhang,7,two_opposite,east,east;west,floor_to_ceiling,0.0,1.35,3.0,False,0.0,1.35
model_351,351,opposite_north_south__conventional__overhang,7,two_opposite,north,north;south,conventional,0.9,2.2,2.09,True,0.62,2.2
model_352,352,single_south__floor_to_ceiling__overhang,7,single,south,south,floor_to_ceiling,0.0,2.21,3.0,True,1.33,2.21
model_353,353,opposite_east_west__conventional__overhang,7,two_opposite,east,east;west,conventional,0.9,1.2,1.9,True,0.48,1.2
model_354,354,adjacent_north_east__floor_to_ceiling__no_overhang,7,two_adjacent,north,north;east,floor_to_ceiling,0.0,2.37,3.0,False,0.0,2.37
model_355,355,adjacent_west_north__conventional__no_overhang,7,two_adjacent,west,west;north,conventional,0.9,1.28,0.87,False,0.0,1.28
model_356,356,single_north__conventional__no_overhang,7,single,north,north,conventional,0.9,1.12,1.14,False,0.0,1.12
model_357,357,adjacent_north_east__conventional__overhang,7,two_adjacent,north,north;east,conventional,0.9,2.05,1.62,True,1.19,2.05
model_358,358,three_north_south_west__floor_to_ceiling__overhang,7,three_facades,west,north;south;west,floor_to_ceiling,0.0,0.64,3.0,True,0.45,0.64
model_359,359,three_east_south_west__floor_to_ceiling__no_overhang,7,three_facades,south,east;south;west,floor_to_ceiling,0.0,0.63,3.0,False,0.0,0.63
model_360,360,single_south__floor_to_ceiling__no_overhang,7,single,south,south,floor_to_ceiling,0.0,1.2,3.0,False,0.0,1.2
model_361,361,opposite_east_west__conventional__no_overhang,7,two_opposite,east,east;west,conventional,0.9,1.22,2.1,False,0.0,1.22
model_362,362,adjacent_west_north__conventional__overhang,7,two_adjacent,west,west;north,conventional,0.9,1.41,0.95,True,1.09,1.41
model_363,363,three_north_south_west__conventional__overhang,7,three_facades,west,north;south;west,conventional,0.9,1.25,1.57,True,0.5,1.25
model_364,364,single_north__conventional__overhang,7,single,north,north,conventional,0.9,2.19,2.01,True,0.39,2.19
model_365,365,single_north__floor_to_ceiling__no_overhang,7,single,north,north,floor_to_ceiling,0.0,2.31,3.0,False,0.0,2.31
model_366,366,three_north_east_south__conventional__no_overhang,7,three_facades,east,north;east;south,conventional,0.9,0.7,1.08,False,0.0,0.7
model_367,367,opposite_east_west__floor_to_ceiling__overhang,7,two_opposite,east,east;west,floor_to_ceiling,0.0,0.94,3.0,True,0.53,0.94
model_368,368,adjacent_west_north__floor_to_ceiling__overhang,7,two_adjacent,west,west;north,floor_to_ceiling,0.0,0.84,3.0,True,0.97,0.84
model_369,369,single_west__floor_to_ceiling__overhang,7,single,west,west,floor_to_ceiling,0.0,0.89,3.0,True,0.46,0.89
model_370,370,single_south__conventional__overhang,7,single,south,south,conventional,0.9,1.54,1.86,True,0.48,1.54
model_371,371,adjacent_south_west__conventional__no_overhang,7,two_adjacent,south,south;west,conventional,0.9,0.81,1.24,False,0.0,0.81
model_372,372,adjacent_east_south__floor_to_ceiling__no_overhang,7,two_adjacent,east,east;south,floor_to_ceiling,0.0,0.95,3.0,False,0.0,0.95
model_373,373,three_east_south_west__conventional__overhang,7,three_facades,south,east;south;west,conventional,0.9,1.97,1.35,True,0.58,1.97
model_374,374,single_west__conventional__overhang,7,single,west,west,conventional,0.9,2.1,0.73,True,0.76,2.1
model_375,375,single_east__conventional__no_overhang,7,single,east,east,conventional,0.9,1.69,1.59,False,0.0,1.69
model_376,376,adjacent_west_north__floor_to_ceiling__no_overhang,7,two_adjacent,west,west;north,floor_to_ceiling,0.0,1.03,3.0,False,0.0,1.03
model_377,377,adjacent_east_south__conventional__no_overhang,7,two_adjacent,east,east;south,conventional,0.9,0.93,1.15,False,0.0,0.93
model_378,378,three_north_east_west__conventional__no_overhang,7,three_facades,north,north;east;west,conventional,0.9,2.14,1.38,False,0.0,2.14
model_379,379,adjacent_south_west__floor_to_ceiling__no_overhang,7,two_adjacent,south,south;west,floor_to_ceiling,0.0,1.22,3.0,False,0.0,1.22
model_380,380,three_east_south_west__floor_to_ceiling__overhang,7,three_facades,south,east;south;west,floor_to_ceiling,0.0,1.24,3.0,True,0.74,1.24
model_381,381,three_north_east_south__floor_to_ceiling__no_overhang,7,three_facades,east,north;east;south,floor_to_ceiling,0.0,1.6,3.0,False,0.0,1.6
model_382,382,adjacent_north_east__conventional__no_overhang,7,two_adjacent,north,north;east,conventional,0.9,2.06,1.26,False,0.0,2.06
model_383,383,adjacent_south_west__conventional__overhang,7,two_adjacent,south,south;west,conventional,0.9,1.25,0.93,True,0.86,1.25
model_384,384,adjacent_east_south__floor_to_ceiling__overhang,7,two_adjacent,east,east;south,floor_to_ceiling,0.0,1.24,3.0,True,1.45,1.24
model_385,385,opposite_north_south__floor_to_ceiling__overhang,7,two_opposite,north,north;south,floor_to_ceiling,0.0,2.1,3.0,True,0.41,2.1
model_386,386,opposite_north_south__conventional__no_overhang,7,two_opposite,north,north;south,conventional,0.9,1.49,1.84,False,0.0,1.49
model_387,387,adjacent_south_west__floor_to_ceiling__overhang,7,two_adjacent,south,south;west,floor_to_ceiling,0.0,2.04,3.0,True,0.82,2.04
model_388,388,single_north__floor_to_ceiling__overhang,7,single,north,north,floor_to_ceiling,0.0,0.73,3.0,True,1.25,0.73
model_389,389,three_north_east_south__floor_to_ceiling__overhang,7,three_facades,east,north;east;south,floor_to_ceiling,0.0,2.01,3.0,True,0.46,2.01
model_390,390,single_east__floor_to_ceiling__overhang,7,single,east,east,floor_to_ceiling,0.0,1.5,3.0,True,1.12,1.5
model_391,391,three_east_south_west__conventional__no_overhang,7,three_facades,south,east;south;west,conventional,0.9,2.17,0.71,False,0.0,2.17
model_392,392,adjacent_north_east__floor_to_ceiling__overhang,7,two_adjacent,north,north;east,floor_to_ceiling,0.0,1.25,3.0,True,1.03,1.25
model_393,393,three_north_east_south__conventional__no_overhang,8,three_facades,east,north;east;south,conventional,0.9,0.84,1.04,False,0.0,0.84
model_394,394,single_south__floor_to_ceiling__no_overhang,8,single,south,south,floor_to_ceiling,0.0,0.98,3.0,False,0.0,0.98
model_395,395,adjacent_west_north__conventional__no_overhang,8,two_adjacent,west,west;north,conventional,0.9,0.73,1.12,False,0.0,0.73
model_396,396,three_north_east_west__conventional__no_overhang,8,three_facades,north,north;east;west,conventional,0.9,1.79,1.72,False,0.0,1.79
model_397,397,adjacent_north_east__conventional__overhang,8,two_adjacent,north,north;east,conventional,0.9,1.56,1.93,True,0.89,1.56
model_398,398,single_north__floor_to_ceiling__no_overhang,8,single,north,north,floor_to_ceiling,0.0,1.44,3.0,False,0.0,1.44
model_399,399,single_west__conventional__overhang,8,single,west,west,conventional,0.9,1.32,0.92,True,1.14,1.32
model_400,400,three_east_south_west__conventional__no_overhang,8,three_facades,south,east;south;west,conventional,0.9,1.33,1.11,False,0.0,1.33
model_401,401,single_south__floor_to_ceiling__overhang,8,single,south,south,floor_to_ceiling,0.0,1.32,3.0,True,0.7,1.32
model_402,402,three_north_east_west__floor_to_ceiling__overhang,8,three_facades,north,north;east;west,floor_to_ceiling,0.0,1.08,3.0,True,1.31,1.08
model_403,403,three_north_south_west__conventional__no_overhang,8,three_facades,west,north;south;west,conventional,0.9,1.01,1.57,False,0.0,1.01
model_404,404,opposite_north_south__floor_to_ceiling__overhang,8,two_opposite,north,north;south,floor_to_ceiling,0.0,0.61,3.0,True,0.51,0.61
model_405,405,three_east_south_west__conventional__overhang,8,three_facades,south,east;south;west,conventional,0.9,1.08,0.79,True,1.28,1.08
model_406,406,single_south__conventional__no_overhang,8,single,south,south,conventional,0.9,2.02,0.83,False,0.0,2.02
model_407,407,three_north_south_west__floor_to_ceiling__no_overhang,8,three_facades,west,north;south;west,floor_to_ceiling,0.0,1.71,3.0,False,0.0,1.71
model_408,408,single_west__floor_to_ceiling__overhang,8,single,west,west,floor_to_ceiling,0.0,1.01,3.0,True,0.66,1.01
model_409,409,opposite_east_west__floor_to_ceiling__overhang,8,two_opposite,east,east;west,floor_to_ceiling,0.0,1.86,3.0,True,0.99,1.86
model_410,410,adjacent_east_south__conventional__overhang,8,two_adjacent,east,east;south,conventional,0.9,1.77,0.97,True,0.8,1.77
model_411,411,opposite_east_west__conventional__no_overhang,8,two_opposite,east,east;west,conventional,0.9,0.98,0.71,False,0.0,0.98
model_412,412,adjacent_west_north__floor_to_ceiling__overhang,8,two_adjacent,west,west;north,floor_to_ceiling,0.0,1.87,3.0,True,0.82,1.87
model_413,413,three_east_south_west__floor_to_ceiling__no_overhang,8,three_facades,south,east;south;west,floor_to_ceiling,0.0,2.12,3.0,False,0.0,2.12
model_414,414,adjacent_east_south__conventional__no_overhang,8,two_adjacent,east,east;south,conventional,0.9,1.85,1.45,False,0.0,1.85
